,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Phytochrome signaling pathway,0,0,0,0,0,0,0,0.000129887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,3.94E-06,0,0.00E+00
Viral DNA replication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,3.53E-06,0,0.00E+00
Latency-replication decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,3.53E-06,0,0.00E+00
Cellulose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108849,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,3.30E-06,#DIV/0!
Pantothenate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,3.04E-06,0,0.00E+00
RNA-mediated gene silencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,2.97E-06,#DIV/0!
Cap snatching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,2.85E-06,#DIV/0!
Viral transcription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,2.85E-06,#DIV/0!
Interferon antiviral system evasion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,2.60E-06,0,0.00E+00
Ubiquinone biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,2.54E-06,0,0.00E+00
Self-incompatibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,2.25E-06,#DIV/0!
Flavonoid biosynthesis,0,7.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,2.23E-06,0,0.00E+00
PQQ biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,1.69E-06,#DIV/0!
Lactose metabolism,0.000544144,0.001469724,0.00034459,0.000456621,0.000297442,0.001574281,0.000195046,0.001168983,0.000517866,0.000238777,0.000143266,0,0.00170068,0.000730727,0.000178412,0.000315856,0.000235128,0.00083668,0.001048449,0.001304828,0.000588543,0.001625135,0.000133458,0.000616751,0,0.000349243,0.000562303,0.002320385,0,0.000139237,0.001286851,0.000852878,0.001108121,0.000689728,0.000220726,0.001038565,0.000371113,0.000362954,0.002531646,0.001666482,0.000507357,0.001451541,0,0.000556483,0.000866426,0,0,0,0.000795624,0.001099102,0.00254977,0.001221919,0.00060698,0.001445087,0.001197344,0,0,0.001405557,0.001465896,0.000749465,0.000743218,0.003847728,0.0005065,0.000369515,0.001157631,0.00102816,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2072040678,1,0.6976091236,,0.3355265084,1,0.7753696754,,0.0006934668182,0.0009228035455,1.330710455
Transport,0.089511631,0.10574662,0.100735125,0.092465753,0.101799524,0.071339796,0.12131851,0.110403949,0.129466598,0.147206304,0.151719198,0.108037748,0.122789116,0.121392035,0.100981267,0.151926721,0.13049612,0.115461847,0.086248758,0.125564589,0.115092859,0.143878657,0.117309489,0.131738004,0.112415688,0.096740396,0.136864597,0.117308353,0.103324219,0.116123642,0.123069724,0.120966596,0.090074402,0.097994482,0.128241916,0.089108911,0.120537371,0.06254915,0.113657562,0.099766693,0.124012466,0.107246539,0.174347826,0.125431274,0.102960289,0.122819767,0.132963374,0.182293847,0.121929388,0.118519875,0.104736687,0.148134223,0.130804249,0.141738921,0.119952106,0.227934045,0.155462185,0.12790572,0.136155902,0.111884368,0.097980924,0.107572657,0.096066183,0.132748268,0.096662165,0.120923059,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1923447938,1,0.6976091236,,0.338451481,1,0.7753696754,,0.1154399344,0.1236679513,1.071275308
Glycolysis,0.05693103,0.070252792,0.038938663,0.068721461,0.043947055,0.076891209,0.061049347,0.074295363,0.054203349,0.049904489,0.055014327,0.057923853,0.07154195,0.066039459,0.056199822,0.058643925,0.066698017,0.064006024,0.072177464,0.06539195,0.053622809,0.052979415,0.041105031,0.065622302,0.039220585,0.031431898,0.078722447,0.06935373,0.053388977,0.055137845,0.064810482,0.050888415,0.050498654,0.057778014,0.042931244,0.056705671,0.050768203,0.07585748,0.069620253,0.079713365,0.041748206,0.05638678,0.042608696,0.051530328,0.05833935,0.057412791,0.027302997,0.030556718,0.062357036,0.061000183,0.059527312,0.053012501,0.047647951,0.052023121,0.056275171,0.03128031,0.05370844,0.06941291,0.042597223,0.04614561,0.085717825,0.07990176,0.056390343,0.054411085,0.069264904,0.055977609,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.340589727,1,0.6996897653,,0.338451481,1,0.7753696754,,0.05865315573,0.05563367848,0.948519782
Hydrogen peroxide,0.002176575,0.000587889,0.001608086,0.000913242,0.001041047,0.000331428,0.001560367,0.000129887,0,0.000238777,0.000859599,0.001138952,0.000226757,0.000639386,0.000535236,0.002421562,7.84E-05,0.000334672,0.000938086,0.000752785,0.001438661,0.000758397,0.001868411,0.001603552,0.001249063,0.004656577,0.001461988,0.000687521,0.00129515,0.000278474,0.000584932,0.001563611,0.001108121,0.000848896,0.002096899,0.011424219,0.002968901,0.002540681,0.000999334,0.001499833,0.000289918,0.001395712,0.00326087,0.000111297,0.001444043,0.000726744,0.000443951,0.000418585,0.000696171,0.000366367,0,9.40E-05,0.000151745,0.000240848,0,0,0.000730727,0.000432479,8.62E-05,0.001820128,0.001114827,0.0002456,0,0.000277136,0.001350569,0.00239904,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.6751625492,1,0.8528494681,,0.3425145134,1,0.7753696754,,0.001062641424,0.001226537667,1.154234758
Nucleotide metabolism,0.000816215,0.000146972,0.000918907,0,0.000371802,0,0.000390092,0.000129887,0.000172622,0,0.000429799,0.000162707,0,9.13E-05,0,0,0.000156752,0,0.000496634,0.000150557,0.000130787,0,0.000133458,0,0,0,0.000112461,8.59E-05,0,0,0.000233973,0.000284293,0.000474909,0.000159168,0,0,0,6.05E-05,0.000266489,0.000166648,0,5.58E-05,0.001086957,0,0,0,0,0,0.000397812,0.000183184,0.000196136,0.000281981,0,0.000120424,0,0.000484966,0.000182682,0,0,0,0.00012387,0.000163733,0,0,9.65E-05,0.00011424,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.339113918,1,0.6996897653,,0.3480614104,1,0.7753696754,,0.0001784881242,0.0001254872758,0.7030567232
Carbon dioxide fixation,0.000476126,0.00095532,0.00034459,0,0,0,0.000195046,0,0,0.000238777,0.000429799,0,0.000226757,0.000365364,0.000892061,0.000210571,0,0.000167336,0.001269176,0.000853157,0.000261575,0.001083424,0,0,0,0,0,0,0.000575622,0,0,0,0.000158303,0.00079584,0.000220726,0.000346188,0.000371113,0,0,5.55E-05,0.000507357,5.58E-05,0.000869565,0.000890373,0.000577617,0.000363372,0,0,0,0.001282286,0.000588408,0.000563963,0,0,0.000326548,0.000484966,0,0.00021624,0.002069501,0,0,0,0,0.000831409,9.65E-05,0.00017136,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3799984597,1,0.7041147929,,0.3502824567,1,0.7753696754,,0.0002637273939,0.0003540811848,1.342602979
Porphyrin biosynthesis,0.001088287,0.000293945,0.000114863,0,0.000669244,8.29E-05,0,0.001948305,0,0.000358166,0.001002865,0.000162707,0.002040816,9.13E-05,0,0.00178985,0.001175641,0.001171352,0.001820991,0.000301114,6.54E-05,0.000433369,0.001067663,0.000370051,0.000249813,0.000349243,0.001574449,0.000515641,0,0.002506266,0.001520824,0.000284293,0.000158303,0.000901952,0.001103631,0.000276951,0.000816448,0,0.001265823,0.002221975,0.000362398,0.000669942,0.000434783,0,0.001299639,0,0.000221976,0.001465048,0.000397812,0.000732735,0,0.000469969,0.000758725,0.000120424,0.001088495,0.001939864,0.001096091,0.000756839,0.000603604,0.000107066,0.001362567,0.001719198,0.000168833,0.002124711,0.001447038,0.0002856,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.5917187293,1,0.8197827335,,0.3552155385,1,0.7753696754,,0.000703262197,0.0007945496061,1.129805654
Aromatic hydrocarbons catabolism,0,0,0,0,0,0,0,0.000129887,0.000172622,0,0,0,0,9.13E-05,0,0,0,0,0,0.000100371,6.54E-05,0,0,0,0,0,0,0,0,0,0,0,0.000158303,5.31E-05,0.000110363,0,0.000222668,6.05E-05,0,5.55E-05,0.000289918,0,0,0,0,0,0.000221976,0,0,0,0,0.000375975,0,0,0,0,0,0,0,0,0.00012387,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2041383376,1,0.6976091236,,0.3635520449,1,0.7753696754,,2.18E-05,4.59E-05,2.11E+00
Nitrogen fixation,0.016732417,0.016240447,0.014357914,0.012557078,0.006618084,0.006628552,0.013848254,0.009481751,0.002589332,0.01408787,0.008595989,0.009437032,0.021201814,0.011417611,0.011775201,0.015266372,0.012932048,0.013386881,0.015119744,0.010288066,0.021056762,0.015817985,0.004404111,0.018132478,0.002498126,0.003259604,0.01237067,0.015898934,0.008202619,0.011556669,0.009592887,0.016346837,0.009023271,0.022761036,0.014457565,0.021671398,0.020262748,0.004839393,0.012524983,0.013220753,0.007392912,0.012896382,0.001956522,0.005676127,0.020505415,0.010174419,0.001331853,0.007115948,0.015415216,0.015753801,0.021182701,0.016166933,0.009863429,0.009393064,0.014912376,0.011396702,0.015345269,0.014812412,0.020695007,0.00503212,0.015731451,0.013507982,0.012324835,0.017090069,0.013988038,0.012852002,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3345436323,1,0.6996897653,,0.3649469165,1,0.7753696754,,0.01184010333,0.01309851094,1.106283499
Pentose shunt,0.007277921,0.007863022,0.007466115,0.007305936,0.008402736,0.018062806,0.006826604,0.00649435,0.008803729,0.009670487,0.009885387,0.004067686,0.005782313,0.007033248,0.010347904,0.00652769,0.007680853,0.008199465,0.01247103,0.008682124,0.005100706,0.004983749,0.011210463,0.010361416,0.014489133,0.005937136,0.012932973,0.015469233,0.009209958,0.007936508,0.010060833,0.009950249,0.009973088,0.005783107,0.003310893,0.007754622,0.006234692,0.012037989,0.006528981,0.008387957,0.005580923,0.008932559,0.028043478,0.011352254,0.007075812,0.009265988,0.00554939,0.001465048,0.005668821,0.011723759,0.008335785,0.009305386,0.01107739,0.008188825,0.009361054,0.005092144,0.00511509,0.007460266,0.009054066,0.008137045,0.015359841,0.016209578,0.006246834,0.00665127,0.009550453,0.007539841,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.7768681826,1,0.9066729311,,0.3717652161,1,0.7753696754,,0.00898384397,0.008708519424,0.9693533696
Chlorophyll biosynthesis,0,0,0,0,0,0,0,0.000259774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001625135,0,0,0.000499625,0,0,0,0,0,0,0.000284293,0,0.000212224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337667,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2342475771,1,0.6976091236,,0.3749929586,1,0.7753696754,,8.09E-05,1.67E-05,2.06E-01
Purine biosynthesis,0.0026527,0.001763668,0.000918907,0.000456621,0.004833432,0.000497141,0.002535596,0.012858813,0.000690489,0.002029608,0.004011461,0.000813537,0.006575964,0.005937157,0.002854594,0.00336913,0.00893487,0.009621821,0.005738881,0.005620797,0.000588543,0.004442037,0.006539437,0.003330455,0.001748688,0.00209546,0.009446694,0.004039189,0.002014678,0.009189641,0.01310248,0.007818053,0.00158303,0.004987267,0.000551815,0.001938655,0.002226676,0.000786401,0.008261159,0.010721031,0.000289918,0.004410451,0.003695652,0.001335559,0.003176895,0.003452035,0,0.000627878,0.005469915,0.002747756,0.001471021,0.003665758,0.005311077,0.004576108,0.001415043,0,0.002557545,0.003892313,0.001897042,0.002890792,0.003344482,0.005730659,0.004220834,0.006466513,0.010804553,0.004969441,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.236182536,1,0.6976091236,,0.3762119854,1,0.7753696754,,0.004504653697,0.003572492242,0.7930670109
Carbohydrate metabolism,0.064957149,0.044532628,0.106708017,0.073287671,0.038816181,0.036871323,0.084454847,0.080529939,0.073019161,0.121298949,0.131518625,0.089326391,0.093537415,0.06402996,0.07279215,0.099915772,0.061446822,0.067603748,0.049884119,0.105841614,0.06147005,0.071180932,0.13305752,0.064882201,0.080689483,0.054714785,0.059154296,0.077947748,0.028205497,0.101364522,0.080018718,0.082160625,0.094981795,0.052631579,0.035536916,0.04680468,0.069620723,0.024801887,0.083944037,0.062215309,0.082046822,0.037740063,0.159565217,0.062214802,0.048375451,0.083938953,0.102552719,0.149853495,0.08891099,0.057336509,0.068647641,0.111194661,0.061760243,0.134633911,0.075759225,0.165130941,0.123127512,0.06379068,0.078296111,0.049464668,0.044716958,0.054523127,0.042546007,0.084526559,0.044279375,0.051693608,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.85152506,1,0.9411592768,,0.378660863,1,0.7753696754,,0.07727880767,0.07582367815,0.9811703938
Differentiation,0.025982859,0.012566138,0.01872272,0.005479452,0.027141582,0.018891375,0.0093622,0.01039096,0.029345762,0.012297039,0.007449857,0.013179304,0.009183673,0.011417611,0.01088314,0.022425774,0.010580767,0.012550201,0.010870765,0.013399578,0.014190426,0.007367281,0.031629521,0.018502529,0.016237822,0.015133877,0.009334233,0.011344105,0.022161462,0.014619883,0.011815629,0.009950249,0.025011873,0.018516553,0.018651363,0.011216506,0.00972315,0.021716775,0.006995336,0.011220975,0.02290353,0.015352836,0.010434783,0.015692821,0.015884477,0.014171512,0.015538291,0.045416492,0.016409746,0.018867925,0.025497695,0.007895479,0.022610015,0.015534682,0.009687602,0.023278371,0.011508951,0.018380365,0.013020609,0.00620985,0.025517156,0.01023332,0.017727503,0.010900693,0.021030291,0.014222882,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4638803072,1,0.7557442779,,0.3856335952,1,0.7753696754,,0.0151339287,0.01642328894,1.085196664
Antiviral defense,0.001496395,0.001690182,0.002297266,0.002511416,0.007287329,0.001491424,0.002730642,0.001818418,0.012774038,0.002507163,0.001002865,0.003416856,0.002721088,0.002831567,0.000713649,0.001052853,0.002351281,0.002593708,0.002372807,0.002258356,0.003335077,0.002058505,0.007073268,0.005550759,0.006994754,0.005587893,0.00359874,0.003609488,0.011368542,0.005430242,0.001169864,0.001421464,0.002057939,0.003660866,0.008166869,0.002492557,0.004972909,0.008710907,0.002398401,0.00272192,0.006668116,0.002456454,0.003043478,0.00556483,0.008375451,0.008175872,0.005327414,0,0.005967181,0.008609635,0.001078749,0.001127926,0.002731411,0.001806358,0.000870796,0.001454898,0.002192181,0.001838037,0.003794085,0.002034261,0.002353524,0.00261973,0.007259835,0.004064665,0.001832915,0.004912321,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.583790709,1,0.8197827335,,0.3856335952,1,0.7753696754,,0.00355078297,0.003917713697,1.103337977
Cell cycle,0.004081077,0.01425632,0.009303928,0.001141553,0.004833432,0.011931394,0.001365321,0.005585141,0.000690489,0.005730659,0.003295129,0.000813537,0.005442177,0.004749726,0.010347904,0.00652769,0.011991535,0.010374833,0.016113012,0.005169126,0.011509286,0.003900325,0.003469905,0.010484766,0.00374719,0.003841676,0.008434548,0.011515985,0.004604979,0.008214982,0.006317267,0.004832978,0.005540605,0.008064516,0.005407792,0.016755522,0.004972909,0.007259089,0.011259161,0.009832241,0.003841415,0.019149174,0.000869565,0.00589872,0.006498195,0.00599564,0.004661487,0.001883633,0.011138737,0.008792819,0.009512602,0.009869349,0.002579666,0.006984586,0.00598672,0,0.001644136,0.013514975,0.009140295,0.003211991,0.013130187,0.013917315,0.005233834,0.006281755,0.008585761,0.005769121,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4267584033,1,0.7411934093,,0.3926831229,1,0.7812327392,,0.006671468939,0.007504330545,1.124839314
DNA replication,0.003060808,0.008524397,0.001148633,0.002511416,0.000669244,0.005799983,0.001365321,0.004416158,0.001898843,0.001671442,0.001719198,0.000813537,0.003854875,0.00310559,0.005173952,0.000947568,0.003997178,0.003932396,0.004359342,0.001204456,0.003989014,0.000650054,0.000133458,0.004070556,0.002747939,0.000349243,0.002586595,0.00464077,0.002014678,0.00278474,0.003626579,0.003269367,0.001741333,0.002705857,0.004193798,0.006923769,0.00059378,0.002480189,0.002198534,0.005054994,0.000652316,0.008485931,0.000434783,0.003116305,0.002166065,0.003088663,0,0.000627878,0.00726007,0.003663675,0.00402079,0.00272582,0.004552352,0.004094412,0.00598672,0,0.000365364,0.007352146,0.003449168,0.000856531,0.003344482,0.007777323,0.002363667,0.003879908,0.004630523,0.003427201,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2548722451,1,0.6976091236,,0.3973164924,1,0.7812786055,,0.002811474636,0.003408273152,1.212272417
rRNA processing,0.000884233,0.000808348,0.000114863,0.001141553,7.44E-05,0,0.000390092,0.003377062,0.000345244,0,0.001862464,0.000162707,0.001927438,0.002740227,0.000356824,0.001158139,0.002116153,0.002008032,0.001269176,0.000451671,0.000457756,0.001516793,0.000133458,0.002960405,0,0,0.003373819,0.001031282,0,0.002227792,0.004094525,0.001847903,0,0.001273345,0,0.000623139,0.000964893,6.05E-05,0.004397069,0.003666259,0.000869754,0.001451541,0.000652174,0.000556483,0.00101083,0.002725291,0,0.000418585,0.002187966,0.002747756,0.001471021,0.000845944,0.001213961,0.003251445,0,0,0,0.002811115,0.000517375,0.000963597,0.002725133,0.001473598,0.0015195,0.001108545,0.003569361,0.00148512,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4274607493,1,0.7411934093,,0.4034300613,1,0.7812786055,,0.001176736955,0.001410948255,1.199034541
Hemostasis,0.029655829,0.019620811,0.023087526,0.002968037,0.04022903,0.031899909,0.029646967,0.013378361,0.027619541,0.024116523,0.012034384,0.03514481,0.013718821,0.016624041,0.01837645,0.008738682,0.012148287,0.015896921,0.019313542,0.026046372,0.021776092,0.005742145,0.036434005,0.007030961,0.038471147,0.035622817,0.011808367,0.018219319,0.031947043,0.023948761,0.016963032,0.024875622,0.036884597,0.021540747,0.019644631,0.010870318,0.0082387,0.036053475,0.017121919,0.010721031,0.029136769,0.013622153,0.017391304,0.018252643,0.024837545,0.015806686,0.031742508,0.012348263,0.016409746,0.017952006,0.021574973,0.015226995,0.03262519,0.007345857,0.022531838,0.029825412,0.032151991,0.006919667,0.019918945,0.035224839,0.010652793,0.021694638,0.033091339,0.021154734,0.016013892,0.018849603,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4072537634,1,0.7411934093,,0.4142891656,1,0.7812786055,,0.02212087127,0.02019676212,0.9130183831
Hearing,0.005849544,0.003894768,0.005513439,0.000913242,0.019259369,0.005468556,0.001170275,0.000259774,0.001208355,0.005850048,0.006876791,0.008135373,0.001927438,0.004293022,0.010347904,0.003790272,0,0.0041834,0.014788655,0.01129178,0.01817944,0.018309859,0.026958495,0.002467004,0.02648014,0.022002328,0.000787224,0.000859402,0.025615196,0.012809802,0.012517548,0.026865672,0.009973088,0.015439304,0.013133208,0.002354082,0.008016032,0.018510677,0.003530979,0.00183313,0.006958034,0.004968736,0.026304348,0.01769616,0.013140794,0.020530523,0.027524972,0.00648807,9.95E-05,0.014471515,0.006472492,0.006015603,0.007738998,0.001806358,0.006639817,0.008486906,0.010412861,0.001189318,0.015176339,0.023982869,0.003592221,0.000654932,0.026169171,0.019030023,0.003569361,0.018107043,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.5522072501,1,0.7958976863,,0.4142891656,1,0.7812786055,,0.009662036455,0.01091043421,1.129206484
Gluconate utilization,0,0,0,0,0,0,0,0.000259774,0,0,0,0,0.000226757,0,0,0,0,0.000334672,0,0,0,0,0,0,0,0,0,0,0,0.000139237,0,0,0,0.000106112,0,0,0,0,0.000133245,0.000277747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120424,0,0,0,0,0,0,0,0,0,9.24E-05,9.65E-05,0.0002856,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.8153540187,1,0.9202820743,,0.4179249916,1,0.7812786055,,2.91E-05,3.37E-05,1.16E+00
